ID_ENTIDAD;RAZON_SOCIAL;NOMBRE_COMERCIAL;BIT_ACTIVO;ID_ESTADO
1;UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS;UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS;1;1
2;UNIVERSIDAD NACIONAL DE SAN CRISTOBAL DE HUAMANGA;UNIVERSIDAD NACIONAL DE SAN CRISTÓBAL DE HUAMANGA;1;1
3;UNIVERSIDAD NACIONAL DE SAN ANTONIO ABAD DEL CUSCO;UNIVERSIDAD NACIONAL DE SAN ANTONIO ABAD DEL CUSCO;1;1
4;UNIVERSIDAD NACIONAL DE TRUJILLO;UNIVERSIDAD NACIONAL DE TRUJILLO;1;1
5;UNIVERSIDAD NACIONAL DE SAN AGUSTIN DE AREQUIPA;UNIVERSIDAD NACIONAL DE SAN AGUSTÍN;1;1
6;UNIVERSIDAD NACIONAL DE INGENIERIA;UNIVERSIDAD NACIONAL DE INGENIERÍA;1;1
7;UNIVERSIDAD NACIONAL AGRARIA LA MOLINA;UNIVERSIDAD NACIONAL AGRARIA LA MOLINA;1;1
8;PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU;PONTIFICIA UNIVERSIDAD CATÓLICA DEL PERÚ;1;1
9;UNIVERSIDAD NACIONAL SAN LUIS GONZAGA DE ICA;UNIVERSIDAD NACIONAL SAN LUIS GONZAGA;1;1
10;UNIVERSIDAD NACIONAL DEL CENTRO DEL PERU;UNIVERSIDAD NACIONAL DEL CENTRO DEL PERÚ;1;1
11;UNIVERSIDAD NACIONAL DE LA AMAZONIA PERUANA;UNIVERSIDAD NACIONAL DE LA AMAZONÍA PERUANA;1;1
12;UNIVERSIDAD NACIONAL DEL ALTIPLANO;UNIVERSIDAD NACIONAL DEL ALTIPLANO;1;1
13;UNIVERSIDAD NACIONAL DE PIURA;UNIVERSIDAD NACIONAL DE PIURA;1;1
14;UNIVERSIDAD PERUANA CAYETANO HEREDIA;UNIVERSIDAD PERUANA CAYETANO HEREDIA;1;1
15;UNIVERSIDAD CATÓLICA DE SANTA MARIA;UNIVERSIDAD CATÓLICA DE SANTA MARÍA;1;1
16;UNIVERSIDAD NACIONAL DE CAJAMARCA;UNIVERSIDAD NACIONAL DE CAJAMARCA;1;1
17;UNIVERSIDAD DEL PACIFICO;UNIVERSIDAD DEL PACÍFICO;1;1
18;UNIVERSIDAD DE LIMA;UNIVERSIDAD DE LIMA;1;1
19;UNIVERSIDAD DE SAN MARTIN DE PORRES;UNIVERSIDAD DE SAN MARTÍN DE PORRES;1;1
20;UNIVERSIDAD FEMENINA DEL SAGRADO CORAZON;UNIVERSIDAD FEMENINA DEL SAGRADO CORAZÓN;1;1
21;UNIVERSIDAD NACIONAL FEDERICO VILLARREAL;UNIVERSIDAD NACIONAL FEDERICO VILLARREAL;1;1
22;UNIVERSIDAD NACIONAL AGRARIA DE LA SELVA;UNIVERSIDAD NACIONAL AGRARIA DE LA SELVA;1;1
23;UNIVERSIDAD NACIONAL HERMILIO VALDIZAN;UNIVERSIDAD NACIONAL HERMILIO VALDIZÁN;1;1
24;UNIVERSIDAD INCA GARCILAZO DE LA VEGA;UNIVERSIDAD INCA GARCILASO DE LA VEGA ASOCIACIÓN CIVIL;1;2
25;UNIVERSIDAD ENRIQUE GUZMAN Y VALLE;UNIVERSIDAD NACIONAL DE EDUCACIÓN ENRIQUE GUZMÁN Y VALLE;1;1
26;UNIVERSIDAD NACIONAL DANIEL ALCIDES CARRION;UNIVERSIDAD NACIONAL DANIEL ALCÍDES CARRIÓN;1;1
27;UNIVERSIDAD NACIONAL DEL CALLAO;UNIVERSIDAD NACIONAL DEL CALLAO;1;1
28;UNIVERSIDAD NACIONAL JOSE FAUSTINO SANCHEZ CARRION;UNIVERSIDAD NACIONAL JOSÉ FAUSTINO SÁNCHEZ CARRIÓN;1;1
29;UNIVERSIDAD DE PIURA;UNIVERSIDAD DE PIURA;1;1
30;UNIVERSIDAD RICARDO PALMA;UNIVERSIDAD RICARDO PALMA;1;1
31;UNIVERSIDAD NACIONAL PEDRO RUIZ GALLO - ENLACE;UNIVERSIDAD NACIONAL PEDRO RUÍZ GALLO;1;2
32;UNIVERSIDAD NACIONAL JORGE BASADRE GROHMANN;UNIVERSIDAD NACIONAL JORGE BASADRE GROHMANN;1;1
33;UNIVERSIDAD NACIONAL SANTIAGO ANTUNEZ DE MAYOLO;UNIVERSIDAD NACIONAL SANTIAGO ANTÚNEZ DE MAYOLO;1;1
34;UNIVERSIDAD NACIONAL DE SAN MARTIN;UNIVERSIDAD NACIONAL DE SAN MARTÍN;1;1
